id,question_processed,answer_processed,dataset
525794,twisted back rib muscle cause chest pain,"rib pain to the side and front of your chest can be caused by nerve and muscle inflammation at the facet joints of your middle-back, rhomboid muscles or ligaments between your shoulder blades or from nerves in your lower neck or mid-back.",msmarco
8o89t6,"Why is it that when driving in cruise control, going uphill feels like the car is going much faster when in reality it’s maintaining speed? ","When the car is in cruise control it is monitoring and attempting, as you said, to maintain the speed it was set to. When you go up hill the car faces more resistance as it has to work against gravity more, so when in cruise control this causes the car to slow down, the car notices this and then attempts to accelerate, like if you pushed down on the gas, to maintain the speed. You are likely hearing the engine rev up which we usually associate with 'going fast,' but the car is just maintaining.",eli5
328281,are famines caused by human actions?,"crop failures caused by natural disasters including poor weather, insect plagues, and plant diseases; crop destruction due to warfare; and enforced starvation as a political tool are some causative factors of famine. however, modern famines, like most of those throughout history, are manmade.",gooaq
7894850,what happens if you block contact on whatsapp?,"messages, calls. and status updates sent by a blocked contact won't show up on your phone and will never be delivered to you. your last seen, online, status updates, and any changes made to your profile photo will no longer be visible to contacts you've blocked.",gooaq
1066806,why does deep breathing calm us down?,taking deep and fuller breaths pumps in more oxygen from outside to your brain and heart rejuvenating and relaxing the body in response to the stress induced by the nervous system.,msmarco
601279,what could be the cause of brake dust,an excessively abrasive disc pad wearing the rotor material away.,msmarco
-2632690004965334314,why was the creation of the dominion of new england unpopular in the english colonies?,deeply resented being stripped of their rights and having their colonial charter revoked,naturalquestions
57277f5e708984140094df35,what are some problems that affect employee retention and volunteers?,"unreliable funding, long hours and low pay",squad2
570e6d560b85d914000d7ed4,why was the port phillip channel deppening project subject to controversy and strict regulations?,fears that beaches and marine wildlife could be affected,squad2
1072463,why is the hitech act important,"the health information technology for economic and clinical health act was created to enforce hipaa requirements, and it raises the penalties imposed on health care institutions that fail to comply with hipaa rules.",msmarco
1keiqg,"If it's bad for the battery for a computer to be plugged in while at 100% charge, why can't the charger detect a full charge and disconnect the power? ","It can and does.

(Speaking for Lithium-Ion batteries)

If it didn't, the battery would overcharge, which would result in the battery failing (possibly catastrophically, read: explosively).

What's bad for the battery is remaining at 100% battery for extended periods of time.  It can result in the chemicals in the battery becoming crystalized, and unable to discharge.  

Imagine if you had a bottle of water and ice formed if you left it filled for too long, and that ice never melted.  The total drinkable capacity of the water bottle would be reduced by the ice.",eli5
571084,what are the long term effects of not eating breakfast,"not eating breakfast increases your risk of hypoglycemia or low-blood sugar. this condition can bring on physical symptoms such as shakiness, dizziness, weakness, headaches, tingling and a rapid heart rate, according to the national institutes of health.obesity and its ensuing complications -- such as diabetes, infertility and heart disease.",msmarco
2861747,what are the effects of greenhouse gas emissions?,"greenhouse gases have far-ranging environmental and health effects. they cause climate change by trapping heat, and they also contribute to respiratory disease from smog and air pollution. extreme weather, food supply disruptions, and increased wildfires are other effects of climate change caused by greenhouse gases.",gooaq
581254,what can cause frequent nausea,"frequent nausea can be caused by foods eaten, illnesses, medications, inner ear problems, and dehydration.",msmarco
wsn7c,"Why does a penis shrink in cold water? I know this may sound funny to some and immature but I've always wondered why. 

(Update)
Our human body is composed of water for the majority, and when water freezes in expands. How come it shrinks when it's in cold water?","Penis size is regulated by blood flow into the penis.  The mechanism behind an erection, for example, is pretty much just an increase in blood flow to that part of the body.  This causes the penis to expand much like a balloon when it's filled with water.  In other words, there is a relationship between blood flow and penis size.

Heat regulates blood flow.  When the temperature is low, the body undergoes vasoconstriction, the constriction of the tubes that carry blood throughout the body.  By making these tubes smaller, less heat is exchanged between the blood and the outside environment, so the blood stays warm.  However, vasoconstriction also decreases the blood flow to the penis, which as explained in the first paragraph, affects size.",eli5
-5029269719681491547,why did british parliament pass the intolerable acts?,to punish the massachusetts colonists for their defiance of throwing a large tea shipment into boston harbor,naturalquestions
26mc78,"Why does baking time vary based on your altitude? I remember learning the reason in an astronomy class once about the atmosphere I think, but my memory stops there. ","Water boils at a lower temperature as pressure decreases (high altitudes have lower pressure).  So you have to bake or boil the dish longer, because the temperature isn't as high.",eli5
57270585708984140094d88d,how far does a glacier have to move to cause glacial earthquakes?,one km per year,squad2
4057583,why u need to drink water?,"1. drinking water helps maintain the balance of body fluids. your body is composed of about 60% water. the functions of these bodily fluids include digestion, absorption, circulation, creation of saliva, transportation of nutrients, and maintenance of body temperature.",gooaq
89sqc4,Why do some animals get older than others?,"In evolutionary context this is referred to as trade-offs, and there are variable characteristics, I'll use a fly and an elephant as examples.


Flies are basically ""live fast, die young"", they trade-off for the large amount of offspring they can produce by having relatively short life spans. They reach sexual maturity quickly, mate, have many many offspring and then die. Elephants take years to mature sexually, and trade-off for their long lifespan by having only one offspring (rarely two) at a time. Of course there are other characteristics to consider (size like you mentioned, large animals trade off for the size by having a small amount offspring and vice versa, the amount of time parents spend nurturing the offspring, etc). 


So basically one characteristic is traded in for another to help maintain the balance; if animals could live forever, mature quickly, and produce many offspring they would be evolutionary monsters and take over the world.",eli5
74920,can trimethoprim cause hyperkalemia,"yes, renal mechanism of trimethoprim-induced hyperkalemia.",msmarco
5i340f,Why is fossil fuels the main source of energy?,"the specific heat (MJ/kg) of fossil fuels, a measure of ""density of energy per unit mass"", is very high, thus a ""small"" power plant (and a car can also be considered a small power plant) burning coal/gas is able to produce a lot of energy. also, they can pretty much operate 24/7/365, thus the final cost per MWh is still lower than most alternative sources.",eli5
1070199,why is fidel castro considered a dictator,because he oversaw numerous human rights violations inflicted on the people of cuba and took control of cuba by force and remained its dictatorial leader for nearly five decades.,msmarco
57268a0ff1498d1400e8e335,what did south korea do to cause members of the south korean military unit to become trapped near the han river?,blew up the highway bridge,squad2
3615850839324925107,how does a walk affect your batting average?,"does not affect a player 's batting average , but it can increase his on - base percentage",naturalquestions
57276917708984140094dd1b,why would families perfer labour done at the home as opposed to the factory?,because it allowed them to generate income while taking care of household duties.,squad2
5d07xn,Why do some people throw up when they see something gruesome like a very bad car accident or death. ,"The limbic system (emotions) is directly connected to your autonomic nervous system (reflexes*) so when you feel intense disgust or witness something gruesome your body can react without your consent.

*This is a pretty simplistic explanation of the autonomic nervous system",eli5
-7531389702260148666,how did the 1652 act of settlement serve england's hold on ireland?,imposed penalties including death and land confiscation against participants and bystanders of the irish rebellion of 1641 and subsequent unrest,naturalquestions
925373,what would cause losing balance and hard to stand in one place?,weakness on one side of your body.,msmarco
48349,bad side effects of metformin,"lactic acidosis, diarrhea, nausea, vomiting, flatulence, asthenia and decreased vitamin b12 serum concentrate.",msmarco
4003679,why does my stomach bloat up so much after i eat?,"eating is a common cause of bloating because when the body digests food, it produces gas. people also swallow air when eating or drinking, which then enters the gastrointestinal tract. flatulence and burping usually help to relieve buildups of gas and air in the gut.",gooaq
8388661256573511512,why does carbon dioxide increase in the body?,hypoventilation,naturalquestions
759091,can syphilis cause swollen lymph nodes?,"one of the first signs of syphilis is a painless open sore called a chancre. chancres are often found in the mouth, the anus, or the genital area. as syphilis spreads throughout the body, a person may get a skin rash and have other symptoms like a fever, swollen lymph nodes, and weight loss.",gooaq
7896112,what happens if you don't have cartilage in your knee?,"if left untreated, the joint, especially if it is a weight-bearing one, such as the knee, can eventually become so damaged that the person cannot walk. apart from immobility, the pain may slowly get worse. all small articular cartilage defects can eventually progress to osteoarthritis if given enough time.",gooaq
4049035,why ophthalmic products must be sterile?,"every ophthalmic product must be sterile in its final container to prevent microbial contamination of the eye. preservatives are added to the formulation to maintain sterility once the container has been opened. ... when aqueous suspensions are used, the particle size is kept to a minimum to prevent irritation of the eye.",gooaq
-4870505877530148579,state the type of stimulus that would cause a knee jerk reflex to occur?,striking the tendon below the patella,naturalquestions
3951604,why are adjusting entries needed?,"in this case, adjusting entries are needed to accurately keep track of what you earned during the accounting period. it is necessary to record all expenses accrued during an accounting period. there will be times when an expense is accrued but has not been paid out. in that situation adjusting entries are needed.",gooaq
1lla19,Why is it so easy to sense somebody entering a room or standing behind you when you don't hear them or see them approaching. ,"Your ears are really good at detecting changes in the ambient soundscape around you. Quite often a small rustle or just tiny change in the way sound is echoing around the room is enough to detect a change.

In addition, the cells in your eyes that pick up light from the periphery of your vision are very insensitive to colour, but very sensitive to movement. Your eyes have evolved to pick up the smallest movements at the edge of your visual field.",eli5
7899425,what happens if you let an uninsured driver drive your car uk?,penalties for uninsured drivers: the police could give you a fixed penalty of £300 and 6 penalty points if you're caught driving a vehicle you're not insured to drive. if the case goes to court you could get: an unlimited fine. disqualified from driving.,gooaq
1072236,why is teflon so unreactive,"teflon is so unreactive because teflon surface has very weak vdw forces because the fluorine atoms bonded to the carbon chain have very tightly bound electrons. this means they are very hard to polarize, or form the dipoles needed for vdw forces.",msmarco
572844d0ff5b5019007da073,what step of the dvd production process causes contrast banding?,mpeg-2 encoding process,squad2
2994949,what causes sudden loss of bladder control?,"urinary incontinence is usually caused by problems with the muscles and nerves that help the bladder hold or pass urine. certain health events unique to women, such as pregnancy, childbirth, and menopause, can cause problems with these muscles and nerves. other causes of urinary incontinence include: overweight.",gooaq
1067862,why does rigor mortis occur,"it caused by the skeletal muscles partially contracting. the muscles are unable to relax, so the joints become fixed in place.",msmarco
588900,what causes indigestion and gas,"medical conditions, medications, diet and lifestyle.",msmarco
5h09e8,Why could the Ohio heartbeat legislation forbidding abortion be ruled unconstitutional?,"The US Supreme Court ruled in the 70's that abortion is legal because you have a constitutional right to privacy, that extends to your medical treatments. Any bill seen as flat out outlawing abortion has been thrown out since. They have allowed some restrictions on it though, like late term abortions.",eli5
213513,how did gouverneur morris lose his leg,he caught his left leg in a carriage wheel and had it amputated just under the knee.,msmarco
3973125,why are some hdmi cables more expensive?,"hdmi is a digital signal standard. it replaces analog standards. analog cable quality determines the output quality, but digital cables do not. so manufacturers are trying to fool consumers into thinking these expensive hdmi cables will improve the quality of the signal the same way the analog counterparts did.",gooaq
3981281,why azolla is considered a natural fertilizer?,azolla grows rapidly – it doubles its biomass every few days. it is high in protein – up to 35 percent by mass. and it is one of the few plants that can fertilize itself – it grows in symbiosis with a photosynthetic bacterium that takes nitrogen from the atmosphere and shares it with the fern.,gooaq
57341e404776f419006618c3,why is it difficult to now which chronic wounds are infected?,because it is normal to have bacterial colonization,squad2
57095dca200fba1400367ee7,why did the chief commissioners province of hp come into being?,as a result of integration of 28 petty princely states,squad2
a0sqgn,Why is oil so colorful? ,"Basically for two reasons: 1) it spreads really thin and 2) the surface between oil and water/air/etc. is really reflective.

These two factors mean that oil forms a thin film with two reflective boundaries. So thin, that is in the range of the wavelength of visible light. This means that if you look at the film from an angle, there's a specific wavelength of light (a specific color) that ""fits"" into the film at that angle. At a different angle it'll be a different color. Other wavelengths will get scattered. This leads to the typical rainbow effect you see on oil spills.",eli5
5730a66b2461fd1900a9cf48,what regulatory change did the hearing about video game violence in 1993 lead to?,the inclusion of ratings on all video games,squad2
-8099377552292146222,why does water boil below 100 c at high elevations?,decreased atmospheric pressure,naturalquestions
57261e2bec44d21400f3d911,why did shell sell some of its assets in march 2010?,to meet the cost of a planned $28bn capital spending programme,squad2
601320,what could cause a jaw lock when chewing food,an articular disc does not glide properly within the joint.,msmarco
-6055666270928017856,why the nucleus is called the control center of the cell?,controls the activities of the cell by regulating gene expression,naturalquestions
745076,can omeprazole cause a rash?,"therefore, the severe adverse reactions (omeprazole enteric-coated tablet-induced rash, diarrhea and allergic shock) experienced by the patient were hypothesized to be caused by the accumulation of omeprazole metabolites in vivo.",gooaq
2146901,is a headache a side effect of high blood pressure?,"in most cases, high blood pressure does not cause headaches or nosebleeds. the best evidence indicates that high blood pressure does not cause headaches or nosebleeds, except in the case of hypertensive crisis, a medical emergency when blood pressure is 180/120 mm hg or higher.",gooaq
-3336744767992270331,how did france lose its north american empire?,a series of wars with great britain and other european major powers during the 18th century and early 19th century,naturalquestions
358862,are headaches a side effect of minocycline?,"commonly reported side effects of minocycline include: headache. other side effects include: vulvovaginal candidiasis, diarrhea, dizziness, dysphagia, epigastric discomfort, melanoglossia, nausea and vomiting, sore throat, stomatitis, and anorexia.",gooaq
57275a2bdd62a815002e9b9c,why was the carnival feast typically the last opportunity to eat well?,food shortage at the end of the winter,squad2
-7708491885090649939,why is mtbe used as a gasoline additive?,to prevent engine knocking,naturalquestions
3977758,why are there so many bubbles in fish tank?,"when you fill an aquarium, you create some agitation, which causes bubbles to form. ... too much protein in the water of a fish tank can coat the bubbles, preventing them from popping. protein foam is an indicator that your tank needs to be cleaned. a dirty filter and debris in the aquarium can cause this problem.",gooaq
3999468,why does chf cause coughing?,"due to the heart's inability to effectively pump blood, any returning circulation from the heart to the lungs can get backed up. this can lead to pulmonary congestion; hence, the name “congestive heart failure.” it's also the primary reason behind chronic coughing.",gooaq
56d244ddb329da140004ecb0,"in theravada buddhism, what is the cause of human existence and suffering?",craving,squad2
-882339281381117482,what is the meaning of screening effect in chemistry?,"reduction in the effective nuclear charge on the electron cloud , due to a difference in the attraction forces of the electrons on the nucleus",naturalquestions
164543,does chf cause wheezing,"yes, chf causes wheezing.",msmarco
56e47fc539bdeb1400347957,what sort of an effect did a growing economy have on human settlements?,urbanization,squad2
1070620,why is it called a moon cactus,"gymnocalycium mihanovichii friedrichii is commonly known as 'hibotan' or moon cactus. this variant occurs when the plant lacks chlorophyll, and the body color manifests as beautiful pink, orange, yellow, or red rather than the typical green.",msmarco
7703543,what causes low blood pressure with high pulse rate?,an abnormally fast heart rate (tachycardia) also can cause low blood pressure. the most common example of tachycardia causing low blood pressure is atrial fibrillation (afib).,gooaq
586126,what causes brownian motion in colloids,it is caused by collisions with molecules of the surrounding medium.,msmarco
755418,what is homelessness caused by,"caused by poverty, lack of support networks, and dismal living conditions in overcrowded or substandard housing, depression, untreated mental illness, post traumatic stress disorder and physical disabilities.",msmarco
-5201883695544448957,why did prussia and austria attack denmark in 1864?,"for control of the duchies of holstein and lauenburg , due to the succession disputes concerning them when the danish king died without an heir acceptable to the german confederation",naturalquestions
ackye4,Why is there sand stored inside the base of some seats on a train? ,Sand is spread on the track when the train needs extra traction. Under the seats along the sides of the carriage is just a convenient place to store the sand.,eli5
57293d646aef051400154bd1,what often lacks in software developed when its released that can eventually lead to errors?,a lack of backward compatibility,squad2
4006150,why does my stomach hurt when i feel nervous?,"anxiety also releases stress hormone (cortisol), which causes the body to produce extra levels of stomach acid. that acidity causes the lining of the esophagus to become irritated, and this can lead to stomach pain, nausea and vomiting, and in severe cases, stress-induced ulcers.",gooaq
586229,what causes burning in arms and legs,simple extremity injuries such as muscle strains and ligament sprains may cause a burning sensation in the extremities.,msmarco
164036,does bruxism cause periodontal recession,"no, bruxism may cause a reversible increase in tooth mobility, but not any gingival recession.",msmarco
56e1a815e3433e1400423088,what can hydrogen embrittlement lead to?,cracks and explosions,squad2
158226,do panic attacks cause breathing problems,yes,msmarco
1085110,what deficiency causes daytime sleepiness,vitamin d deficiency linked to daytime sleepiness.,msmarco
3953318,why are azo dyes soluble in water?,"the most easily applied azo dyes are those designated as direct: they contain chemical substituents that make them soluble in water, and they are absorbed from solution by cotton. ... the acid azo dyes possess affinity for wool and silk and are applied by essentially the same procedure used for the direct class.",gooaq
7893731,what happens if someone blocked your text messages?,"try sending a text message however, if a person has blocked you, you won't see either notification. instead, there will just be a blank space beneath your text. it's worth noting that being blocked is not the only reason why you might not see a notification.",gooaq
570a5a736d058f1900182d91,"in the james-lange theory, what causes emotions?",bodily states,squad2
5729429a6aef051400154c18,what method is used to cause a system to fail?,destructive testing,squad2
588779,what causes huntingtons disease,inherited defect in a single gene.,msmarco
4035687,why is spotting normal during the first trimester?,about 20% of women have some bleeding during the first 12 weeks of pregnancy. possible causes of first trimester bleeding include: implantation bleeding. you may experience some normal spotting within the first six to 12 days after you conceive as the fertilized egg implants itself in the lining of the uterus.,gooaq
587778,what causes eyes to tear up,"it is caused by irritation or infection of the eye, injury to the eye from trauma, or a common cold.",msmarco
2863696,what are the environmental effects of barium?,"environmental effects of barium because it forms insoluble salts with other common components of the environment, such as carbonate and sulphate, barium is not mobile and poses little risk. barium compounds that are persistent usually remain in soil surfaces, or in the sediment of water soils.",gooaq
702947,can excessive drinking cause pins and needles?,"alcohol can be toxic to nerve tissue. people who drink too much may start to feel pain and tingling in their limbs. this is known as alcoholic neuropathy. in people with alcoholic neuropathy, the peripheral nerves have been damaged by too much alcohol use.",gooaq
3742007028886722120,how did john wick's wife die in the movie?,a terminal illness,naturalquestions
671244,can a car accident cause a compression fracture?,"causes of compression fractures a compression fracture can be caused by trauma, such as a car accident or other accident that causes a strong force to be exerted on the back. these types of fractures can be caused from a fall or a jump from a significant height.",gooaq
593274,what causes vaginal lesions,genital herpes,msmarco
572e85a3cb0c0d14000f123e,why did feynman decide to turn down an offer from the institute of advanced study?,no teaching duties,squad2
570a329c4103511400d595c0,why would more fermentable sugars be added to be beer during the brewing process?,to increase alcohol content,squad2
-3913960448893839703,why does white stuff come out of my throat?,tonsilloliths,naturalquestions
48n528,Why do the lenses of glasses have to be so thick when contact lenses are super thin with the same correction? ,It's because glasses are farther away from the eye so any correction needs to be exaggerated to have the same effect.,eli5
56d09354234ae51400d9c3aa,why was solar technology developed in the 1860s?,driven by an expectation that coal would soon become scarce,squad2
5731bfaae17f3d140042238e,what was one of the main causes of the split in protestantism?,controversy over the eucharist,squad2
3982103,why birth control should be over the counter?,research indicates that making the pill available over the counter (otc) would lead to greater use of effective birth control and lower rates of unintended pregnancy. an otc pill would remove the unnecessary burden of requiring a woman to visit a doctor to get the birth control she needs.,gooaq
67009,can emotional experiences cause hives,yes,msmarco
5726ae265951b619008f7a22,why did mtv ban the video for justify my love?,too sexually explicit,squad2
7144375316187274699,how did the roman patricians respond when the plebeians seceded from rome in 494 bc?,agreed that the plebs be given the right to elect their own officials,naturalquestions
1074501,why use an operating system,"it is the most essential program that allows a computer to run and execute programs. without an operating system, a computer cannot be of any important use since the computer's hardware won't be able to communicate with the software.",msmarco
2876966,what are the health effects of drinking coffee?,"not only can your daily cup of joe help you feel more energized, burn fat and improve physical performance, it may also lower your risk of several conditions, such as type 2 diabetes, cancer and alzheimer's and parkinson's disease. in fact, coffee may even boost longevity.",gooaq
5csrv1,Why is spaying and neutering pets considered to be more healthy for them than not? ,"- In most animals, it cuts the risk of various cancers. Breast cancer, testicular cancer, ovarian cancer, prostate cancer, many animals are prone to these if they remain intact. 

- Pregnancy is also not without risk. By preventing pregnancy, you are preventing pregnancy related risks.

- Many animals can become sexually frustrated which can lead to obsessive behaviours such as licking their genitals until they bleed. 

- Spaying and neutering will change the behaviour of most animals, which puts them at less risk. It makes males less aggressive so they are less likely to get into fights. It makes your pet less likely to escape and roam. It makes your pet less likely to engage in undesired dominance behaviours (such as excessive barking or mounting or spraying). Now, these last behaviours are not necessarily physically unhealthy for these animals, but sadly, it does put them at greater risk of being too much for an owner to handle and going to a shelter.",eli5
71582,can muscle strain in back cause pain in abdomen,"yes,a back injury or degenerative condition in the spine can cause local pain, as well as discomfort in the abdomen.",msmarco
5774996589663241729,why should we look for the alternative sources of energy than fossil fuels?,"to address concerns about fossil fuels , such as its high carbon dioxide emissions , an important factor in global warming",naturalquestions
1r7m27,Why are sweet foods sticky? ,"Sugar is hygroscopic; it soaks up water from everything around it, including the air when it's left out. This means that when it's combined with water, it dissolves but bonds with the water and becomes very viscous. Most sweet foods have a fair bit of water in them; otherwise, the sugar will dissolve in and bond with your saliva to produce the viscous, sticky feeling.",eli5
4481035025183332157,why did 4th power change their name to 4th impact?,copyright reasons,naturalquestions
84770,causes for blocked intestines,"a small portion of cases are due to impaired intestinal motility, thereby preventing the flow of chyme further down the gastrointestinal tract. this causes intestinal contents to become ‘backed up’.",msmarco
2nyxpt,Why does my nose run when it's cold? ,"Your body has to warm up outside air before it hits your lungs. If cold air hits your lungs, you have bronchial spasms that make it tough to breathe. If you've ever had trouble breathing when you face a really cold wind that is what is happening. Having your nose run adds moisture. This transfers heat to the air better and makes it easier to breath.",eli5
707774,can hair dye cause cancer?,permanent hair dye and straighteners may increase breast cancer risk. scientists at the national institutes of health found that women who use permanent hair dye and chemical hair straighteners have a higher risk of developing breast cancer than women who don't use these products.,gooaq
56f8d0969e9bad19000a058c,what can larger mutations be caused by?,errors in recombination,squad2
56cfbc7f234ae51400d9bf35,why does time have an effect of the amount of available solar energy?,during the nighttime there is little solar radiation on the surface of the earth for solar panels to absorb,squad2
913807,do nipple piercings affect breastfeeding?,breastfeeding with nipple piercings in place can potentially cause choking and/or damage to the infant's mouth. while breastfeeding with previously pierced holes may be problematic if there is scarring or nerve damage. ... it is not recommended to get nipple piercings while breastfeeding.,gooaq
5726e0d2f1498d1400e8ee6c,what natural disaster caused detrimental effects to the irrawaddy section of burma in may of 2008 ?,cyclone nargis,squad2
56e12be3e3433e1400422c86,how did the people of boston react to the demolition of the west end?,with vociferous public opposition.,squad2
587888,what causes fibroids to form,"each tumor develops from an aberrant muscle cell in the uterus, which multiplies rapidly because of the influence of estrogen.",msmarco
990039,does effexor cause weight loss?,effexor and effexor xr may cause weight loss. this weight loss is usually small. talk to your doctor about this if you're concerned or if you start losing too much weight. alcohol can increase the feeling of drowsiness this medication may cause.,gooaq
585948,what causes blood vessel to break in fingers,"an injury that jars the blood vessels, causing bleeding into the skin,infections of the blood, an allergic reaction, autoimmune disorders, cold temperatures or stress.",msmarco
88528,causes of sudden lower lip swelling,"angioedema, canker sores, cold sores, cellulitis, and angular cheilitis.",msmarco
4043929,why less sunlight in winter?,"during winter, the northern hemisphere leans away from the sun, there are fewer daylight hours, and the sun hits us at an angle; this makes it appear lower in the sky. there is less heating because the angled sun's rays are “spread out” rather than direct. (shadows are longer because of the lower angle of the sun.)",gooaq
393417862187494844,the infectious agent that causes aids is a(n)?,virus,naturalquestions
5392859,how do the mass and speed of an object affect the kinetic energy?,the kinetic energy of a moving object is directly proportional to its mass and directly proportional to the square of its velocity. this means that an object with twice the mass and equal speed will have twice the kinetic energy while an object with equal mass and twice the speed will have quadruple the kinetic energy.,gooaq
68149,can hormone therapy cause cancer,"yes, combined hormone replacement therapy can increase your risk for breast cancer.",msmarco
5727ce204b864d1900163d8a,"why did huxley coin the name ""darwinism?""",as part of his efforts to secularise and professionalise science,squad2
1195747,how does climate change affect the tropical rainforest?,"changing climate leads to forest degradation. as temperatures increase, so do forest fires. tropical rainforests typically get over 100 inches of rain a year, but each year this number decreases — creating a chain effect of consequences.",gooaq
74347,can testosterone boosters cause difficulty sleeping,yes,msmarco
4060498,why was phhhoto taken down?,animated gif capture tool and social network phhhoto is shutting down its app due to server costs becoming unsustainable after getting slammed with competition by instagram's copycat boomerang. phhhoto will pivot to focus on its parent company hypno's original business — physical photobooths for events.,gooaq
993760,does glandular fever cause headaches?,"like other virus infections, glandular fever often causes fever (high temperatures), aches, headaches, and can make you feel quite unwell. a feeling of intense tiredness often develops with glandular fever. this is often the last symptom to go once the sore throat, swollen glands, and flu-like symptoms have gone.",gooaq
558122,what are effects of a kidney cyst,reducing kidney function and leading to kidney failure,msmarco
2992764,what causes facet joint dysfunction?,"what are the causes? as we get older, cartilage in our joints wears down. an injury, repetitive movements, obesity, poor posture and other spine conditions that change the way the facet joints align and move can cause pain. changes in the facet joints can begin with the deterioration of a vertebral disc.",gooaq
3503011,what is the most common cause of urinary tract infections?,"the most common utis occur mainly in women and affect the bladder and urethra. infection of the bladder (cystitis). this type of uti is usually caused by escherichia coli (e. coli), a type of bacteria commonly found in the gastrointestinal (gi) tract. however, sometimes other bacteria are responsible.",gooaq
2765548,what are hygromas caused by?,"a cystic hygroma may be caused by genetic or environmental factors that cause abnormal development of the lymphatic vascular system during embryonic growth. it may occur on its own or as part of a genetic syndrome with other features, such as turner syndrome, down syndrome or noonan syndrome.",gooaq
572e9c50c246551400ce43d5,why has cyprus been sought out by offshore businesses?,low tax rates,squad2
518976,are systemic hives a cause for worry?,"generally speaking, hives alone aren't dangerous, and they can usually be treated with over-the-counter antihistamines such as benadryl. however, if hives present as part of systemic allergic reaction, seek immediate medical attention.",gooaq
4944844902550063272,why are courts so hesitant to allow prior restraint in restricting speech?,because it prevents the restricted material from being heard or distributed at all,naturalquestions
-6378856539110762451,why do inoculated plates need to be incubated in the inverted position?,to lessen the risk of contamination from airborne particles settling on them,naturalquestions
4ig83s,Why do people hate to agree with people they don't like?,"Because agreeing with someone you don't like might imply that you've incorrectly evaluated the person. This can feel threatening to some people who will then choose to stick to their previous opinion; that removes the feeling of threat, it keeps things ""consistent"". 

People sometimes prefer to invalidate whatever made them agree with the disliked person because it's less of an effort than changing your mind about someone you don't like.

Also, if you've decided for any reason that ""person X is bad"", you can set yourself up so that anything X does or thinks *has* to be bad, by judging the actions/thoughts based on who performed them, instead of judging the actions or thoughts independently. That's also a mechanism to keep things consistent and make decision-making about a person ""easy"". It's how stereotypes are perpetuated; ""X belongs to Y place/culture/gender/association, and Y is bad/does crappy things, therefore X is bad because they belong to Y"".",eli5
bdxm2z,"Why is an orgasm such an intense, pleasant feeling?","The brain (and consciousness) has evolved to be a sort of feedback system that has helped to improve the success of an organism/species as a whole. 

Imagine the brain as the principal of a school. The students perform there work, either poorly or well. This is analogous to an organism doing something, either helpful or not. The teachers (or certain receptor types) “appraise” the students work and report it to the principal. The principal uses this information to decide how to do its job; if a student is struggling (ie. a behavior is unhelpful/harmful to an organism) the principal will “try something new”. Perhaps the principal will talk to the student and identify the source of the issue and figure out what s(he) can change to improve the student’s performance. Similarly, the brain processes information about a harmful act and sends signals that are perceived as pain. This motivates an organism to change what it is doing and try something else. 

Something like having an orgasm would be extremely helpful in passing the genes on to the next generation so the brain has evolved (over a long period of time) to release large amounts of dopamine (the reward neurotransmitter) when an organism does it. 

For your question about if someone was “wired wrong” if they could feel the opposite; this would be incredibly unlikely to occur. The DNA that encodes an organism is very precise. In order for someone to develop with their nerves “hooked up to the wrong sources” (for lack of a better explanation) there would have to be MAJOR mutations of the DNA. If this were to occur, there would almost certainly be many other regions of the genome that would be completely destroyed and the organism would be non-viable.",eli5
1070175,why is excretion important,"excretion is important for living things because a build up of the waste products from these chemical reactions is very dangerous for the body because it can, in excess, be poisonous.",msmarco
584509,what causes a dog to have bloodshot eyes,"an inflammation of the cornea, eyelid, conjunctiva, sclera, ciliary body or iris.",msmarco
678493,can a yeast infection cause burning with urination?,"they may cause a burning sensation when you urinate, or you may feel a need to urinate more frequently. yeast infection symptoms may include pain when urinating, but you'll also experience pain and itchiness in the affected area. vaginal yeast infections also typically cause a thick, milky discharge.",gooaq
1164772,what causes gout in ankles?,"in ankle, gout occurs due to the accumulation of urate crystals in the joint.",msmarco
4052894,why rye is better than wheat?,"since rye is tougher to refine than wheat, it retains much more of its nutrients and is known to reduce the risk of breast and colon cancer. rye is an excellent source of essential vitamins and soluble fibre. the human body lacks these vitamins and thus, these must be supplied by external sources such as rye.",gooaq
994110,does government shutdown affect state child support?,"furloughed parents obligated by the state to pay child support could face back payments and administrative sanctions for missing a child support payment during the shutdown. depending on the state, parents could theoretically lose their driver's licenses or professional licenses.",gooaq
bg63vi,Why do US/European electronics companies build factories in Asia?,"Cutting costs is important, so cheaper labour and components are important reasons to set up in Asian countries.",eli5
1102052,why is positive body image important,"positive body image is important because it is one of the protective factors which can make a person more resilient to eating disorders. in fact, the most effective eating disorder prevention programs use a health promotion approach, focusing on building self-esteem and positive body image, and a balanced approach to nutrition and physical activity.",msmarco
56faca31f34c681400b0c12d,why does the playstation 3 have extensive hd compatibility?,because of its built in blu-ray disc based player,squad2
46161756315047194,why blood group o is called universal donor?,can donate blood to individuals of any abo blood group,naturalquestions
570bceb66b8089140040fa4c,what can typically cause mass extinctions?,rapid environmental changes,squad2
71394,can migraines cause body aches,"yes, migraines cause body aches.",msmarco
592859,what causes thunder to roll,the rapid expansion of super-heated air as electrical spark passes through.,msmarco
